Country Code,Economy,Income Group,Year,Latitude,Longitude
MKD,"Macedonia, FYR",Lower middle income (LM),2005,"41,636","21,676"
MAC,"Macao SAR, China",High income (H),2005,"22,132","113,558"
LUX,Luxembourg,High income (H),2005,"49,671","6,113"
LTU,Lithuania,Upper middle income (UM),2005,"55,342","24,23"
LIE,Liechtenstein,High income (H),2005,"47,105","9,556"
LBY,Libya,Upper middle income (UM),2005,"27,24","17,571"
LBR,Liberia,Low income (L),2005,"6,51","-9,33"
LSO,Lesotho,Lower middle income (LM),2005,"-29,446","28,371"
LBN,Lebanon,Upper middle income (UM),2005,"34,161","36,021"
LVA,Latvia,Upper middle income (UM),2005,"57,017","250,173"
LAO,Lao PDR,Low income (L),2005,"19,595","102,538"
KGZ,Kyrgyz Republic,Low income (L),2005,"41,741","75,043"
KWT,Kuwait,High income (H),2005,"29,396","47,326"
XKX,Kosovo,NA,2005,"42,546","20,921"
KOR,"Korea, Rep.",High income (H),2005,"36,338","128,16"
PRK,"Korea, Dem. Rep.",Low income (L),2005,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),2005,"2,048","-158,59"
KEN,Kenya,Low income (L),2005,"0,806","38,166"
KAZ,Kazakhstan,Lower middle income (LM),2005,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),2005,"30,681","36,279"
JPN,Japan,High income (H),2005,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),2005,"18,163","-77,477"
ITA,Italy,High income (H),2005,"443,713","111,084"
ISR,Israel,High income (H),2005,"30,992","34,834"
IMN,Isle of Man,High income (H),2005,"54,234","-4,522"
IRL,Ireland,High income (H),2005,"53,214","-7,588"
IRQ,Iraq,Lower middle income (LM),2005,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Lower middle income (LM),2005,"33,408","540,418"
IDN,Indonesia,Lower middle income (LM),2005,"-0,739","114,045"
IND,India,Low income (L),2005,"22,741","78,236"
ISL,Iceland,High income (H),2005,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),2005,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),2005,"22,436","114,099"
HND,Honduras,Lower middle income (LM),2005,"14,881","-87,123"
HTI,Haiti,Low income (L),2005,"193,175","-724,205"
GUY,Guyana,Lower middle income (LM),2005,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),2005,"12,191","-14,475"
GIN,Guinea,Low income (L),2005,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),2005,"15,124","-90,711"
GUM,Guam,High income (H),2005,"13,37","144,7"
GRD,Grenada,Upper middle income (UM),2005,"12,107","-61,681"
GRL,Greenland,High income (H),2005,71,-39
GRC,Greece,High income (H),2005,"39,787","21,617"
GIB,Gibraltar,NA,2005,"361,323","-53,478"
GHA,Ghana,Low income (L),2005,"7,258","-1,062"
DEU,Germany,High income (H),2005,"513,819","99,877"
GEO,Georgia,Lower middle income (LM),2005,"42,05","43,576"
GMB,"Gambia, The",Low income (L),2005,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),2005,"-0,406","11,914"
PYF,French Polynesia,High income (H),2005,"-17,529","-149,53"
FRA,France,High income (H),2005,"46,656","2,543"
FIN,Finland,High income (H),2005,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),2005,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),2005,"62,053","-6,863"
ETH,Ethiopia,Low income (L),2005,"8,435","38,786"
EST,Estonia,Upper middle income (UM),2005,"58,777","25,977"
ERI,Eritrea,Low income (L),2005,"15,982","38,02"
GNQ,Equatorial Guinea,Upper middle income (UM),2005,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),2005,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Lower middle income (LM),2005,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),2005,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),2005,"19,01","-701,685"
DMA,Dominica,Upper middle income (UM),2005,"15,458","-61,35"
DJI,Djibouti,Lower middle income (LM),2005,"11,41","42,165"
DNK,Denmark,High income (H),2005,"56,113","9,096"
CZE,Czech Republic,Upper middle income (UM),2005,"49,848","152,812"
CYP,Cyprus,High income (H),2005,"34,894","32,928"
CUW,Curaçao,NA,2005,"12,166",-69
CUB,Cuba,Lower middle income (LM),2005,"20,571","-76,456"
HRV,Croatia,Upper middle income (UM),2005,"45,754","16,385"
CIV,Côte d'Ivoire,Low income (L),2005,"7,497","-5,336"
CRI,Costa Rica,Upper middle income (UM),2005,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),2005,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),2005,"-1,418","23,607"
COM,Comoros,Low income (L),2005,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),2005,"3,794","-73,606"
CHN,China,Lower middle income (LM),2005,"351,753","993,877"
CHL,Chile,Upper middle income (UM),2005,"-23,176","-69,201"
CHI,Channel Islands,High income (H),2005,"49,457","-2,572"
TCD,Chad,Low income (L),2005,"15,981","18,781"
CAF,Central African Republic,Low income (L),2005,"7,043","21,424"
CYM,Cayman Islands,High income (H),2005,"19,331","-81,25"
CAN,Canada,High income (H),2005,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),2005,"4,4","12,131"
KHM,Cambodia,Low income (L),2005,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),2005,"15,416","-23,36"
BDI,Burundi,Low income (L),2005,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),2005,"12,673","-1,226"
BGR,Bulgaria,Lower middle income (LM),2005,"42,625","24,521"
BRN,Brunei Darussalam,High income (H),2005,"4,452","114,557"
VGB,British Virgin Islands,NA,2005,"18,439","-64,586"
BRA,Brazil,Lower middle income (LM),2005,"-11,694","-48,978"
BWA,Botswana,Upper middle income (UM),2005,"-22,126","23,662"
BIH,Bosnia and Herzegovina,Lower middle income (LM),2005,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),2005,"-16,71","-65,183"
BTN,Bhutan,Low income (L),2005,"274,902","902,151"
BMU,Bermuda,High income (H),2005,"32,3","-64,761"
BEN,Benin,Low income (L),2005,"10,478","2,274"
BLZ,Belize,Upper middle income (UM),2005,"17,108","-88,744"
BEL,Belgium,High income (H),2005,"506,745","44,588"
BLR,Belarus,Lower middle income (LM),2005,"533,292","279,492"
BRB,Barbados,Upper middle income (UM),2005,"13,147","-59,557"
BGD,Bangladesh,Low income (L),2005,"24,598","901,963"
BHR,Bahrain,High income (H),2005,"26,028","50,55"
BHS,"Bahamas, The",High income (H),2005,"24,616","-77,989"
AZE,Azerbaijan,Lower middle income (LM),2005,"40,46","47,883"
AUT,Austria,High income (H),2005,"47,65","14,705"
AUS,Australia,High income (H),2005,"-24,578","133,582"
ABW,Aruba,High income (H),2005,"12,556","-70,024"
ARM,Armenia,Lower middle income (LM),2005,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),2005,"-33,166","-64,31"
ATG,Antigua and Barbuda,High income (H),2005,"17,625","-61,786"
AGO,Angola,Lower middle income (LM),2005,"-12,836","17,808"
AND,Andorra,High income (H),2005,"42,541","1,546"
ASM,American Samoa,Upper middle income (UM),2005,"-14,316","-170,76"
DZA,Algeria,Lower middle income (LM),2005,"286,045","2,64"
ALB,Albania,Lower middle income (LM),2005,"40,654","20,076"
AFG,Afghanistan,Low income (L),2005,"34,023","655,267"
ZWE,Zimbabwe,Low income (L),2006,"-19,098","30,047"
ZMB,Zambia,Low income (L),2006,"-15,13","25,268"
YEM,"Yemen, Rep.",Low income (L),2006,"15,569","47,793"
PSE,West Bank and Gaza,Lower middle income (LM),2006,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),2006,"17,74","-64,8"
VNM,Vietnam,Low income (L),2006,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),2006,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),2006,"-15,339","166,89"
UZB,Uzbekistan,Low income (L),2006,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),2006,"-32,948","-56,249"
USA,United States,High income (H),2006,"400,792","-988,164"
GBR,United Kingdom,High income (H),2006,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),2006,"239,299","539,031"
UKR,Ukraine,Lower middle income (LM),2006,"49,364","32,132"
UGA,Uganda,Low income (L),2006,"19,392","327,415"
TUV,Tuvalu,NA,2006,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,2006,"21,816","-71,799"
TKM,Turkmenistan,Lower middle income (LM),2006,"39,584","59,597"
TUR,Turkey,Upper middle income (UM),2006,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),2006,"35,594","9,421"
TTO,Trinidad and Tobago,High income (H),2006,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),2006,"-21,167","-175,19"
TGO,Togo,Low income (L),2006,"7,7","1,106"
TLS,Timor-Leste,Low income (L),2006,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),2006,"15,688","100,845"
TZA,Tanzania,Low income (L),2006,"-5,651","34,146"
TJK,Tajikistan,Low income (L),2006,"38,367","72,597"
TWN,"Taiwan, China",High income (H),2006,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),2006,"35,303","38,322"
CHE,Switzerland,High income (H),2006,"467,794","80,329"
SWE,Sweden,High income (H),2006,"662,188",19
SWZ,Swaziland,Lower middle income (LM),2006,"-26,596","31,47"
SUR,Suriname,Lower middle income (LM),2006,"4,248","-55,848"
SDN,Sudan,Low income (L),2006,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Upper middle income (UM),2006,"13,234","-61,202"
MAF,St. Martin (French part),NA,2006,"18,081","-63,046"
LCA,St. Lucia,Upper middle income (UM),2006,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),2006,"17,147","-62,58"
LKA,Sri Lanka,Lower middle income (LM),2006,"7,3","80,727"
ESP,Spain,High income (H),2006,"40,617","-3,388"
SSD,South Sudan,NA,2006,"7,1","30,48"
ZAF,South Africa,Upper middle income (UM),2006,"-31,7","23,441"
SOM,Somalia,Low income (L),2006,"2,875","43,446"
SLB,Solomon Islands,Low income (L),2006,"-9,611","160,19"
SVN,Slovenia,High income (H),2006,"46,037","14,534"
SVK,Slovak Republic,Upper middle income (UM),2006,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,2006,"18,041","-63,066"
SGP,Singapore,High income (H),2006,"1,364","103,81"
SLE,Sierra Leone,Low income (L),2006,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),2006,"-4,627","55,461"
SRB,Serbia,Upper middle income (UM),2006,"44,021","20,699"
SEN,Senegal,Low income (L),2006,"15,044","-15,081"
SAU,Saudi Arabia,High income (H),2006,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),2006,"0,233","6,589"
SMR,San Marino,High income (H),2006,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),2006,"-13,625","-172,42"
RWA,Rwanda,Low income (L),2006,"-1,887","29,904"
RUS,Russian Federation,Upper middle income (UM),2006,"64,736","104,062"
ROU,Romania,Upper middle income (UM),2006,"45,933","25,119"
QAT,Qatar,High income (H),2006,"25,168","51,17"
PRI,Puerto Rico,High income (H),2006,"18,242","-66,643"
PRT,Portugal,High income (H),2006,"40,957","-79,373"
POL,Poland,Upper middle income (UM),2006,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),2006,"17,181","121,256"
PER,Peru,Lower middle income (LM),2006,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),2006,"-23,266","-58,409"
PNG,Papua New Guinea,Low income (L),2006,"-5,636","142,798"
PAN,Panama,Upper middle income (UM),2006,"8,348","-81,005"
PLW,Palau,Upper middle income (UM),2006,"7,473","134,549"
PAK,Pakistan,Low income (L),2006,"281,854","666,429"
OMN,Oman,Upper middle income (UM),2006,"19,85","56,25"
NOR,Norway,High income (H),2006,"613,701","93,031"
MNP,Northern Mariana Islands,Upper middle income (UM),2006,"15,18","145,72"
NGA,Nigeria,Low income (L),2006,"93,417","7,678"
NER,Niger,Low income (L),2006,"16,996","9,915"
NIC,Nicaragua,Lower middle income (LM),2006,"12,692","-85,03"
NZL,New Zealand,High income (H),2006,"-42,558","172,377"
NCL,New Caledonia,High income (H),2006,"-21,02","165,062"
NLD,Netherlands,High income (H),2006,"521,704","50,102"
NPL,Nepal,Low income (L),2006,"282,114","835,608"
NRU,Nauru,NA,2006,"-0,519","166,932"
NAM,Namibia,Lower middle income (LM),2006,"-21,276","17,219"
MMR,Myanmar,Low income (L),2006,"21,841","96,05"
MOZ,Mozambique,Low income (L),2006,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),2006,"31,129","-7,355"
MNE,Montenegro,Upper middle income (UM),2006,"42,857","19,096"
MNG,Mongolia,Low income (L),2006,"46,516","102,564"
MCO,Monaco,High income (H),2006,"43,733","7,416"
MDA,Moldova,Lower middle income (LM),2006,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",Lower middle income (LM),2006,"7,531","150,457"
MEX,Mexico,Upper middle income (UM),2006,"22,925","-101,68"
MUS,Mauritius,Upper middle income (UM),2006,"-20,323","57,518"
MRT,Mauritania,Low income (L),2006,"19,413","-106,528"
MHL,Marshall Islands,Lower middle income (LM),2006,"5,961","169,651"
MLT,Malta,High income (H),2006,"35,884","14,446"
MLI,Mali,Low income (L),2006,"18,211","-2,209"
MDV,Maldives,Lower middle income (LM),2006,"4,221","73,463"
MYS,Malaysia,Upper middle income (UM),2006,"4,416","102,099"
MWI,Malawi,Low income (L),2006,"-13,258","33,723"
MDG,Madagascar,Low income (L),2006,"-19,615","46,645"
MKD,"Macedonia, FYR",Lower middle income (LM),2006,"41,636","21,676"
MAC,"Macao SAR, China",High income (H),2006,"22,132","113,558"
LUX,Luxembourg,High income (H),2006,"49,671","6,113"
LTU,Lithuania,Upper middle income (UM),2006,"55,342","24,23"
LIE,Liechtenstein,High income (H),2006,"47,105","9,556"
LBY,Libya,Upper middle income (UM),2006,"27,24","17,571"
LBR,Liberia,Low income (L),2006,"6,51","-9,33"
LSO,Lesotho,Lower middle income (LM),2006,"-29,446","28,371"
LBN,Lebanon,Upper middle income (UM),2006,"34,161","36,021"
LVA,Latvia,Upper middle income (UM),2006,"57,017","250,173"
LAO,Lao PDR,Low income (L),2006,"19,595","102,538"
KGZ,Kyrgyz Republic,Low income (L),2006,"41,741","75,043"
KWT,Kuwait,High income (H),2006,"29,396","47,326"
XKX,Kosovo,NA,2006,"42,546","20,921"
KOR,"Korea, Rep.",High income (H),2006,"36,338","128,16"
PRK,"Korea, Dem. Rep.",Low income (L),2006,"39,767","126,389"
KIR,Kiribati,Lower middle income (LM),2006,"2,048","-158,59"
KEN,Kenya,Low income (L),2006,"0,806","38,166"
KAZ,Kazakhstan,Upper middle income (UM),2006,"48,866","69,772"
JOR,Jordan,Lower middle income (LM),2006,"30,681","36,279"
JPN,Japan,High income (H),2006,"35,962","137,855"
JAM,Jamaica,Lower middle income (LM),2006,"18,163","-77,477"
ITA,Italy,High income (H),2006,"443,713","111,084"
ISR,Israel,High income (H),2006,"30,992","34,834"
IMN,Isle of Man,High income (H),2006,"54,234","-4,522"
IRL,Ireland,High income (H),2006,"53,214","-7,588"
IRQ,Iraq,Lower middle income (LM),2006,"33,545","43,278"
IRN,"Iran, Islamic Rep.",Lower middle income (LM),2006,"33,408","540,418"
IDN,Indonesia,Lower middle income (LM),2006,"-0,739","114,045"
IND,India,Low income (L),2006,"22,741","78,236"
ISL,Iceland,High income (H),2006,"64,826","-18,417"
HUN,Hungary,Upper middle income (UM),2006,"47,174","19,618"
HKG,"Hong Kong SAR, China",High income (H),2006,"22,436","114,099"
HND,Honduras,Lower middle income (LM),2006,"14,881","-87,123"
HTI,Haiti,Low income (L),2006,"193,175","-724,205"
GUY,Guyana,Lower middle income (LM),2006,"5,17","-58,939"
GNB,Guinea-Bissau,Low income (L),2006,"12,191","-14,475"
GIN,Guinea,Low income (L),2006,"10,599","-10,907"
GTM,Guatemala,Lower middle income (LM),2006,"15,124","-90,711"
GUM,Guam,High income (H),2006,"13,37","144,7"
GRD,Grenada,Upper middle income (UM),2006,"12,107","-61,681"
GRL,Greenland,High income (H),2006,71,-39
GRC,Greece,High income (H),2006,"39,787","21,617"
GIB,Gibraltar,NA,2006,"361,323","-53,478"
GHA,Ghana,Low income (L),2006,"7,258","-1,062"
DEU,Germany,High income (H),2006,"513,819","99,877"
GEO,Georgia,Lower middle income (LM),2006,"42,05","43,576"
GMB,"Gambia, The",Low income (L),2006,"13,499","-14,641"
GAB,Gabon,Upper middle income (UM),2006,"-0,406","11,914"
PYF,French Polynesia,High income (H),2006,"-17,529","-149,53"
FRA,France,High income (H),2006,"46,656","2,543"
FIN,Finland,High income (H),2006,"62,716","26,192"
FJI,Fiji,Lower middle income (LM),2006,"-178,226","177,948"
FRO,Faeroe Islands,High income (H),2006,"62,053","-6,863"
ETH,Ethiopia,Low income (L),2006,"8,435","38,786"
EST,Estonia,High income (H),2006,"58,777","25,977"
ERI,Eritrea,Low income (L),2006,"15,982","38,02"
GNQ,Equatorial Guinea,Upper middle income (UM),2006,"1,596","10,553"
SLV,El Salvador,Lower middle income (LM),2006,"13,848","-89,229"
EGY,"Egypt, Arab Rep.",Lower middle income (LM),2006,"26,16","28,742"
ECU,Ecuador,Lower middle income (LM),2006,"-1,151","-78,308"
DOM,Dominican Republic,Lower middle income (LM),2006,"19,01","-701,685"
DMA,Dominica,Upper middle income (UM),2006,"15,458","-61,35"
DJI,Djibouti,Lower middle income (LM),2006,"11,41","42,165"
DNK,Denmark,High income (H),2006,"56,113","9,096"
CZE,Czech Republic,High income (H),2006,"49,848","152,812"
CYP,Cyprus,High income (H),2006,"34,894","32,928"
CUW,Curaçao,NA,2006,"12,166",-69
CUB,Cuba,Lower middle income (LM),2006,"20,571","-76,456"
HRV,Croatia,Upper middle income (UM),2006,"45,754","16,385"
CIV,Côte d'Ivoire,Low income (L),2006,"7,497","-5,336"
CRI,Costa Rica,Upper middle income (UM),2006,"10,126","-84,075"
COG,"Congo, Rep.",Lower middle income (LM),2006,"0,509","16,08"
COD,"Congo, Dem. Rep.",Low income (L),2006,"-1,418","23,607"
COM,Comoros,Low income (L),2006,"-11,755","43,342"
COL,Colombia,Lower middle income (LM),2006,"3,794","-73,606"
CHN,China,Lower middle income (LM),2006,"351,753","993,877"
CHL,Chile,Upper middle income (UM),2006,"-23,176","-69,201"
CHI,Channel Islands,High income (H),2006,"49,457","-2,572"
TCD,Chad,Low income (L),2006,"15,981","18,781"
CAF,Central African Republic,Low income (L),2006,"7,043","21,424"
CYM,Cayman Islands,High income (H),2006,"19,331","-81,25"
CAN,Canada,High income (H),2006,"592,067","-1,111,937"
CMR,Cameroon,Lower middle income (LM),2006,"4,4","12,131"
KHM,Cambodia,Low income (L),2006,"12,69","104,444"
CPV,Cabo Verde,Lower middle income (LM),2006,"15,416","-23,36"
BDI,Burundi,Low income (L),2006,"-3,333","29,749"
BFA,Burkina Faso,Low income (L),2006,"12,673","-1,226"
BGR,Bulgaria,Upper middle income (UM),2006,"42,625","24,521"
BRN,Brunei Darussalam,High income (H),2006,"4,452","114,557"
VGB,British Virgin Islands,NA,2006,"18,439","-64,586"
BRA,Brazil,Upper middle income (UM),2006,"-11,694","-48,978"
BWA,Botswana,Upper middle income (UM),2006,"-22,126","23,662"
BIH,Bosnia and Herzegovina,Lower middle income (LM),2006,"44,342","17,804"
BOL,Bolivia,Lower middle income (LM),2006,"-16,71","-65,183"
BTN,Bhutan,Lower middle income (LM),2006,"274,902","902,151"
BMU,Bermuda,High income (H),2006,"32,3","-64,761"
BEN,Benin,Low income (L),2006,"10,478","2,274"
BLZ,Belize,Upper middle income (UM),2006,"17,108","-88,744"
BEL,Belgium,High income (H),2006,"506,745","44,588"
BLR,Belarus,Lower middle income (LM),2006,"533,292","279,492"
BRB,Barbados,High income (H),2006,"13,147","-59,557"
BGD,Bangladesh,Low income (L),2006,"24,598","901,963"
BHR,Bahrain,High income (H),2006,"26,028","50,55"
BHS,"Bahamas, The",High income (H),2006,"24,616","-77,989"
AZE,Azerbaijan,Lower middle income (LM),2006,"40,46","47,883"
AUT,Austria,High income (H),2006,"47,65","14,705"
AUS,Australia,High income (H),2006,"-24,578","133,582"
ABW,Aruba,High income (H),2006,"12,556","-70,024"
ARM,Armenia,Lower middle income (LM),2006,"40,56","44,449"
ARG,Argentina,Upper middle income (UM),2006,"-33,166","-64,31"
ATG,Antigua and Barbuda,High income (H),2006,"17,625","-61,786"
AGO,Angola,Lower middle income (LM),2006,"-12,836","17,808"
AND,Andorra,High income (H),2006,"42,541","1,546"
ASM,American Samoa,Upper middle income (UM),2006,"-14,316","-170,76"
DZA,Algeria,Lower middle income (LM),2006,"286,045","2,64"
ALB,Albania,Lower middle income (LM),2006,"40,654","20,076"
AFG,Afghanistan,Low income (L),2006,"34,023","655,267"
ZWE,Zimbabwe,Low income (L),2007,"-19,098","30,047"
ZMB,Zambia,Low income (L),2007,"-15,13","25,268"
YEM,"Yemen, Rep.",Low income (L),2007,"15,569","47,793"
PSE,West Bank and Gaza,Lower middle income (LM),2007,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),2007,"17,74","-64,8"
VNM,Vietnam,Low income (L),2007,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),2007,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),2007,"-15,339","166,89"
UZB,Uzbekistan,Low income (L),2007,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),2007,"-32,948","-56,249"
USA,United States,High income (H),2007,"400,792","-988,164"
GBR,United Kingdom,High income (H),2007,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),2007,"239,299","539,031"
UKR,Ukraine,Lower middle income (LM),2007,"49,364","32,132"
UGA,Uganda,Low income (L),2007,"19,392","327,415"
TUV,Tuvalu,NA,2007,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,2007,"21,816","-71,799"
TKM,Turkmenistan,Lower middle income (LM),2007,"39,584","59,597"
TUR,Turkey,Upper middle income (UM),2007,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),2007,"35,594","9,421"
TTO,Trinidad and Tobago,High income (H),2007,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),2007,"-21,167","-175,19"
TGO,Togo,Low income (L),2007,"7,7","1,106"
TLS,Timor-Leste,Lower middle income (LM),2007,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),2007,"15,688","100,845"
TZA,Tanzania,Low income (L),2007,"-5,651","34,146"
TJK,Tajikistan,Low income (L),2007,"38,367","72,597"
TWN,"Taiwan, China",High income (H),2007,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),2007,"35,303","38,322"
CHE,Switzerland,High income (H),2007,"467,794","80,329"
SWE,Sweden,High income (H),2007,"662,188",19
SWZ,Swaziland,Lower middle income (LM),2007,"-26,596","31,47"
SUR,Suriname,Upper middle income (UM),2007,"4,248","-55,848"
SDN,Sudan,Lower middle income (LM),2007,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Upper middle income (UM),2007,"13,234","-61,202"
MAF,St. Martin (French part),NA,2007,"18,081","-63,046"
LCA,St. Lucia,Upper middle income (UM),2007,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),2007,"17,147","-62,58"
LKA,Sri Lanka,Lower middle income (LM),2007,"7,3","80,727"
ESP,Spain,High income (H),2007,"40,617","-3,388"
SSD,South Sudan,NA,2007,"7,1","30,48"
ZAF,South Africa,Upper middle income (UM),2007,"-31,7","23,441"
SOM,Somalia,Low income (L),2007,"2,875","43,446"
SLB,Solomon Islands,Low income (L),2007,"-9,611","160,19"
SVN,Slovenia,High income (H),2007,"46,037","14,534"
SVK,Slovak Republic,High income (H),2007,"488,595","194,434"
SXM,Sint Maarten (Dutch part),NA,2007,"18,041","-63,066"
SGP,Singapore,High income (H),2007,"1,364","103,81"
SLE,Sierra Leone,Low income (L),2007,"8,677","-11,779"
SYC,Seychelles,Upper middle income (UM),2007,"-4,627","55,461"
SRB,Serbia,Upper middle income (UM),2007,"44,021","20,699"
SEN,Senegal,Low income (L),2007,"15,044","-15,081"
SAU,Saudi Arabia,High income (H),2007,"24,191","44,32"
STP,São Tomé and Principe,Low income (L),2007,"0,233","6,589"
SMR,San Marino,High income (H),2007,"43,934","12,454"
WSM,Samoa,Lower middle income (LM),2007,"-13,625","-172,42"
RWA,Rwanda,Low income (L),2007,"-1,887","29,904"
RUS,Russian Federation,Upper middle income (UM),2007,"64,736","104,062"
ROU,Romania,Upper middle income (UM),2007,"45,933","25,119"
QAT,Qatar,High income (H),2007,"25,168","51,17"
PRI,Puerto Rico,High income (H),2007,"18,242","-66,643"
PRT,Portugal,High income (H),2007,"40,957","-79,373"
POL,Poland,Upper middle income (UM),2007,"52,442","19,72"
PHL,Philippines,Lower middle income (LM),2007,"17,181","121,256"
PER,Peru,Lower middle income (LM),2007,"-12,664","-72,98"
PRY,Paraguay,Lower middle income (LM),2007,"-23,266","-58,409"
PNG,Papua New Guinea,Low income (L),2007,"-5,636","142,798"
PAN,Panama,Upper middle income (UM),2007,"8,348","-81,005"
PLW,Palau,Upper middle income (UM),2007,"7,473","134,549"
PAK,Pakistan,Low income (L),2007,"281,854","666,429"
OMN,Oman,High income (H),2007,"19,85","56,25"
NOR,Norway,High income (H),2007,"613,701","93,031"
MNP,Northern Mariana Islands,High income (H),2007,"15,18","145,72"
NGA,Nigeria,Low income (L),2007,"93,417","7,678"
NER,Niger,Low income (L),2007,"16,996","9,915"
NIC,Nicaragua,Lower middle income (LM),2007,"12,692","-85,03"
NZL,New Zealand,High income (H),2007,"-42,558","172,377"
NCL,New Caledonia,High income (H),2007,"-21,02","165,062"
NLD,Netherlands,High income (H),2007,"521,704","50,102"
NPL,Nepal,Low income (L),2007,"282,114","835,608"
NRU,Nauru,NA,2007,"-0,519","166,932"
NAM,Namibia,Lower middle income (LM),2007,"-21,276","17,219"
MMR,Myanmar,Low income (L),2007,"21,841","96,05"
MOZ,Mozambique,Low income (L),2007,"-13,852","38,042"
MAR,Morocco,Lower middle income (LM),2007,"31,129","-7,355"
MNE,Montenegro,Upper middle income (UM),2007,"42,857","19,096"
MNG,Mongolia,Lower middle income (LM),2007,"46,516","102,564"
MCO,Monaco,High income (H),2007,"43,733","7,416"
MDA,Moldova,Lower middle income (LM),2007,"47,524","28,444"
FSM,"Micronesia, Fed. Sts.",Lower middle income (LM),2007,"7,531","150,457"
MEX,Mexico,Upper middle income (UM),2007,"22,925","-101,68"
MUS,Mauritius,Upper middle income (UM),2007,"-20,323","57,518"
MRT,Mauritania,Low income (L),2007,"19,413","-106,528"
MHL,Marshall Islands,Lower middle income (LM),2007,"5,961","169,651"
MLT,Malta,High income (H),2007,"35,884","14,446"
MLI,Mali,Low income (L),2007,"18,211","-2,209"
MDV,Maldives,Lower middle income (LM),2007,"4,221","73,463"
MYS,Malaysia,Upper middle income (UM),2007,"4,416","102,099"
MWI,Malawi,Low income (L),2007,"-13,258","33,723"
MDG,Madagascar,Low income (L),2007,"-19,615","46,645"
MKD,"Macedonia, FYR",Lower middle income (LM),2007,"41,636","21,676"
MAC,"Macao SAR, China",High income (H),2007,"22,132","113,558"
LUX,Luxembourg,High income (H),2007,"49,671","6,113"
LTU,Lithuania,Upper middle income (UM),2007,"55,342","24,23"
LIE,Liechtenstein,High income (H),2007,"47,105","9,556"
LBY,Libya,Upper middle income (UM),2007,"27,24","17,571"
LBR,Liberia,Low income (L),2007,"6,51","-9,33"
LSO,Lesotho,Lower middle income (LM),2007,"-29,446","28,371"
LBN,Lebanon,Upper middle income (UM),2007,"34,161","36,021"
